open,high,low,close,volume,vwap,rsi,bb_mavg,bb_upper,bb_lower,bb_hi,bb_li,timestamp
29858,29970,29858,29884,1.5508,29908.780952,44.909137970932086,29773.75,30283.32899289511,29264.17100710489,0.0,0.0,2021-07-20 20:00:00+00:00
29850,29850,29629,29701,3.498,29703.111149,40.477894659738894,29726.3,30039.605665445095,29412.994334554904,0.0,0.0,2021-07-20 21:00:00+00:00
29688,29702,29500,29567,6.39,29550.494554,37.55572504278378,29693.35,29914.60304517677,29472.096954823228,0.0,0.0,2021-07-20 22:00:00+00:00
29564,29829,29564,29787,10.3832,29640.330467,44.62397427347848,29702.05,29923.664507647838,29480.43549235216,0.0,0.0,2021-07-20 23:00:00+00:00
29842,29854,29589,29589,1.9849,29759.89803,40.212282660557875,29698.65,29924.961533068898,29472.338466931105,0.0,0.0,2021-07-21 00:00:00+00:00
29625,29796,29518,29796,56.0237,29637.506402,46.200592109038055,29702.35,29932.455432356546,29472.24456764345,0.0,0.0,2021-07-21 01:00:00+00:00
29805,29870,29721,29823,7.665,29818.052016,46.94700693024452,29708.55,29944.56650366022,29472.53349633978,0.0,0.0,2021-07-21 02:00:00+00:00
29825,29905,29825,29846,32.8598,29895.045858,47.61376563654833,29711.2,29952.08968429552,29470.310315704482,0.0,0.0,2021-07-21 03:00:00+00:00
29848,30813,29848,30714,55.948,30447.248951,65.32508144869298,29762.9,30261.160132862336,29264.639867137666,1.0,0.0,2021-07-21 04:00:00+00:00
30673,30939,30606,30714,15.2781,30798.007521,65.32508144869298,29827.95,30450.661321560794,29205.238678439207,1.0,0.0,2021-07-21 05:00:00+00:00
30696,30873,30680,30873,3.6829,30750.64756,67.64873650658204,29890.7,30653.34620893307,29128.05379106693,1.0,0.0,2021-07-21 06:00:00+00:00
30833,30866,30745,30811,4.6334,30794.735766,65.79715608481534,29946.85,30801.362088855378,29092.33791114462,1.0,0.0,2021-07-21 07:00:00+00:00
30779,30866,30779,30866,0.2118,30808.272899,66.66870303354105,30002.35,30940.19460866392,29064.50539133608,0.0,0.0,2021-07-21 08:00:00+00:00
30858,31372,30858,31325,22.5391,31102.798164,72.87965834023657,30091.2,31166.638998734925,29015.761001265077,1.0,0.0,2021-07-21 09:00:00+00:00
31344,31621,31293,31373,11.76,31419.662509,73.4370943321468,30174.4,31369.501234205694,28979.29876579431,1.0,0.0,2021-07-21 10:00:00+00:00
31357,31649,31357,31585,2.6432,31488.204714,75.80271842707467,30258.95,31593.830440339123,28924.06955966088,0.0,0.0,2021-07-21 11:00:00+00:00
31589,31728,31494,31521,34.1479,31593.444077,73.66973224087894,30351.25,31764.821062946594,28937.678937053406,0.0,0.0,2021-07-21 12:00:00+00:00
31494,31545,31466,31480,1.4274,31521.19469,72.26681914933766,30442.55,31899.40421027636,28985.69578972364,0.0,0.0,2021-07-21 13:00:00+00:00
31556,31872,31556,31830,14.143,31748.005664,76.3986893402623,30544.05,32087.955628592612,29000.144371407387,0.0,0.0,2021-07-21 14:00:00+00:00
31847,31962,31800,31955,20.6445,31867.034988,77.67780700324161,30652.0,32271.651814434183,29032.348185565817,0.0,0.0,2021-07-21 15:00:00+00:00
31958,32400,31879,32103,162.8954,32087.220736,79.12067690803363,30762.95,32459.16572625652,29066.73427374348,0.0,0.0,2021-07-21 16:00:00+00:00
32129,32187,31833,32180,18.3501,32076.993308,79.85042002448583,30886.9,32616.568164706725,29157.231835293278,0.0,0.0,2021-07-21 17:00:00+00:00
32180,32855,31792,31792,67.4212,32257.771857,67.12028357327858,30998.15,32658.770278691045,29337.529721308958,0.0,0.0,2021-07-21 18:00:00+00:00
31985,32016,31613,31613,21.8564,31803.60106,62.19409539118889,31089.45,32672.658195405744,29506.241804594258,0.0,0.0,2021-07-21 19:00:00+00:00
31591,31918,31515,31906,12.0784,31687.224715,66.52498636311469,31205.3,32666.786927755395,29743.813072244604,0.0,0.0,2021-07-21 20:00:00+00:00
31825,31957,31694,31855,29.8768,31808.909823,65.12648625868658,31308.25,32642.695933711777,29973.804066288223,0.0,0.0,2021-07-21 21:00:00+00:00
31822,32077,31817,32077,21.2029,31979.309194,68.25488495326402,31420.95,32607.096108200796,30234.803891799205,0.0,0.0,2021-07-21 22:00:00+00:00
32108,32250,31986,32100,37.0105,32220.775642,68.56946968611518,31533.65,32509.491027012027,30557.808972987976,0.0,0.0,2021-07-21 23:00:00+00:00
32070,32350,31893,32132,32.5163,32183.105055,69.0293218947574,31604.55,32536.96503098131,30672.134969018687,0.0,0.0,2021-07-22 00:00:00+00:00
32024,32037,31909,31980,0.4456,32003.567774,64.22276733721266,31667.85,32518.112847594715,30817.58715240528,0.0,0.0,2021-07-22 01:00:00+00:00
31971,31971,31820,31911,9.4183,31933.12222,62.10858664790259,31719.75,32492.82150380794,30946.67849619206,0.0,0.0,2021-07-22 02:00:00+00:00
31902,32107,31901,31932,7.1566,31953.494872,62.5130582038897,31775.8,32430.71819336453,31120.88180663547,0.0,0.0,2021-07-22 03:00:00+00:00
31920,32195,31920,32017,15.3787,32139.867733,64.17976763939305,31833.35,32344.9730155103,31321.7269844897,0.0,0.0,2021-07-22 04:00:00+00:00
32076,32216,31900,31900,7.4829,32072.328816,60.21141433869662,31862.1,32317.793274034026,31406.40672596597,0.0,0.0,2021-07-22 05:00:00+00:00
31900,32056,31900,32054,8.1913,32002.679648,63.417703573005525,31896.15,32299.312634677182,31492.98736532282,0.0,0.0,2021-07-22 06:00:00+00:00
32109,32267,32094,32131,1.7549,32151.493874,64.9390313441232,31923.45,32312.329145750762,31534.57085424924,0.0,0.0,2021-07-22 07:00:00+00:00
